Time since start in ms ,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
14,0.622,-0.393,9.634
80,0.603,-0.373,9.835
132,0.632,-0.383,9.759
193,0.575,-0.316,9.74
253,0.661,-0.412,9.845
312,0.603,-0.345,9.634
372,0.603,-0.508,9.835
432,0.565,-0.335,9.452
498,0.68,-0.412,9.874
552,0.603,-0.259,9.328
612,0.565,-0.421,10.008
672,0.584,-0.345,9.357
738,0.632,-0.45,9.883
793,0.565,-0.345,9.385
853,0.527,-0.421,9.864
912,0.584,-0.297,9.404
972,0.603,-0.373,9.979
1032,0.651,-0.373,9.596
1092,0.565,-0.373,9.969
1152,0.575,-0.393,9.701
1218,0.517,-0.412,9.787
1272,0.661,-0.45,9.701
1332,0.642,-0.306,9.768
1392,0.642,-0.412,9.931
1452,0.555,-0.335,9.673
1512,0.603,-0.469,9.941
1577,0.575,-0.345,9.519
1632,0.67,-0.421,9.902
1692,0.613,-0.316,9.328
1757,0.546,-0.441,9.874
1818,0.603,-0.335,9.366
1872,0.584,-0.402,10.036
1933,0.546,-0.383,9.491
1992,0.527,-0.402,9.998
2052,0.622,-0.412,9.634
2113,0.594,-0.364,9.855
2173,0.613,-0.421,9.778
2232,0.575,-0.393,9.787
2292,0.67,-0.431,9.72
2352,0.661,-0.278,9.51
2412,0.555,-0.469,9.864
2473,0.546,-0.316,9.376
2533,0.67,-0.479,9.72
2593,0.603,-0.345,9.433
2652,0.508,-0.354,10.017
2712,0.594,-0.488,9.864
2772,0.632,-0.287,9.28
2833,0.555,-0.287,9.874
2893,0.622,-0.479,10.142
2953,0.68,-0.46,10.113
3013,0.795,-0.335,9.644
3072,0.718,-0.326,9.242
3133,0.527,-0.364,9.644
3192,0.469,-0.469,9.969
3252,0.517,-0.364,9.539
3313,0.632,-0.326,9.701
3372,0.718,-0.479,9.787
3432,0.584,-0.354,9.874
3492,0.565,-0.45,9.855
3552,0.527,-0.383,10.017
3612,0.737,-0.335,9.701
3672,0.699,-0.316,10.104
3732,0.402,-0.297,9.586
3793,0.575,-0.421,9.95
3852,0.555,-0.402,9.328
3912,0.728,-0.527,9.855
3973,0.441,-0.316,9.539
4032,0.68,-0.421,9.816
4092,0.642,-0.268,9.634
4152,0.67,-0.45,9.893
4213,0.536,-0.354,9.845
4272,0.555,-0.412,9.816
4333,0.642,-0.364,9.989
4392,0.498,-0.364,9.491
4452,0.67,-0.45,9.95
4513,0.613,-0.287,9.376
4573,0.603,-0.431,9.768
4633,0.603,-0.373,10.132
4693,0.508,-0.268,9.471
4752,0.718,-0.517,9.73
4816,0.622,-0.354,10.046
4872,0.498,-0.287,9.481
4932,0.747,-0.498,9.72
4993,0.651,-0.345,10.046
5052,0.488,-0.249,9.395
5113,0.699,-0.508,9.74
5172,0.661,-0.441,10.266
5232,0.517,-0.239,9.481
5293,0.546,-0.431,9.586
5352,0.632,-0.527,9.797
5413,0.68,-0.249,9.749
5472,0.441,-0.364,9.376
5532,0.699,-0.565,9.787
5593,0.642,-0.45,10.238
5652,0.565,-0.153,9.404
5712,0.441,-0.45,9.673
5777,0.661,-0.622,9.835
5833,0.709,-0.192,9.539
5893,0.527,-0.393,9.663
5952,0.766,-0.536,10.18
6012,0.709,-0.345,9.251
6072,0.795,-0.517,10.027
6132,0.929,-0.479,9.5
6192,0.996,-0.373,9.797
6253,0.958,-0.555,10.008
6319,1.207,-0.479,9.462
6392,0.871,-0.603,10.171
6453,1.178,-0.565,9.711
6517,1.101,-0.402,9.28
6578,0.91,-0.335,9.309
6633,0.517,-0.565,9.759
6693,1.12,-0.546,9.357
6754,1.331,-0.498,9.309
6822,1.197,-0.555,9.462
6892,1.513,-0.594,9.874
6952,1.657,-0.737,9.807
7013,1.216,-0.91,10.18
7073,1.532,-0.699,9.29
7138,1.618,-0.709,9.74
7192,1.226,-0.862,9.969
7253,1.12,-0.747,9.816
7312,1.034,-0.747,9.682
7373,0.996,-0.565,9.835
7438,0.967,-0.412,9.883
7493,0.929,-0.441,10.036
7553,0.709,-0.517,10.151
7612,0.575,-0.354,10.123
7672,0.517,-0.316,9.673
7732,0.383,-0.077,9.481
7792,0.077,0.0,9.251
7853,0.01,-0.115,9.902
7912,0.019,-0.23,10.046
7973,0.01,-0.057,9.242
8033,0.019,-0.182,9.912
8099,0.469,-0.517,9.922
8152,0.67,-0.249,9.395
8213,0.575,-0.412,10.046
8272,0.642,-0.479,9.586
8332,0.527,-0.469,9.989
8392,0.575,-0.68,9.826
8453,0.594,-0.412,9.395
8517,0.632,-0.488,10.065
8572,0.594,-0.268,9.251
8632,0.594,-0.431,9.855
8692,0.546,-0.268,9.203
8752,0.536,-0.479,9.95
8813,0.488,-0.364,9.347
8872,0.479,-0.508,9.855
8932,0.46,-0.373,9.797
8993,0.393,-0.431,9.692
9052,0.431,-0.603,10.238
9113,0.421,-0.354,9.261
9173,0.46,-0.584,9.778
9232,0.536,-0.412,9.73
