Time since start in ms ,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Speed ( Kmh),LOCATION ORIENTATION (°),Satellites in range,LOCATION Altitude ( m)
14,-36.87487,174.80305,0.1,250.0,14,79.2
6822,-36.87486,174.80309,0.1,250.0,15,79.3
8818,-36.87486,174.80309,0.6,250.0,15,79.5
9817,-36.87486,174.80309,1.1,93.1,16,79.6
10818,-36.87486,174.80312,1.6,103.2,16,79.7
11838,-36.87486,174.80312,2.0,95.7,15,79.8
12809,-36.87487,174.80312,2.2,93.9,17,79.9
13808,-36.87487,174.80315,2.2,92.9,18,80.0
14802,-36.87487,174.80316,1.7,92.7,18,80.1
17818,-36.87487,174.80316,0.0,91.2,18,80.2
19823,-36.87487,174.80315,0.7,91.2,18,80.2
20822,-36.87487,174.80315,0.0,91.2,19,80.2
21828,-36.87486,174.80312,0.6,91.2,19,80.2
22809,-36.87487,174.80312,1.4,271.7,19,80.2
23822,-36.87487,174.8031,1.7,283.7,18,80.2
24802,-36.87487,174.8031,0.1,283.7,18,80.2
31827,-36.87487,174.80312,1.5,295.1,18,80.2
32808,-36.87486,174.80312,0.1,295.1,18,80.3
33808,-36.87486,174.80312,0.2,295.1,18,80.3
34813,-36.87485,174.80312,1.2,295.1,19,80.3
35835,-36.87485,174.80315,1.2,25.3,19,80.4
36832,-36.87484,174.80316,0.9,25.3,19,80.4
37833,-36.87484,174.80316,0.0,25.3,19,80.5
39818,-36.87484,174.80318,2.4,97.9,19,80.7
40818,-36.87485,174.8032,3.1,120.1,19,80.9
41825,-36.87485,174.8032,3.5,121.9,19,81.0
42819,-36.87486,174.80324,4.5,104.1,19,81.2
43818,-36.87486,174.80324,5.4,91.6,18,81.3
44824,-36.87487,174.80328,6.4,84.5,18,81.5
45818,-36.87487,174.80331,7.3,93.9,18,81.6
46809,-36.87488,174.80336,7.6,102.1,18,81.7
47818,-36.87489,174.80338,6.4,99.7,18,81.9
48827,-36.87489,174.8034,5.9,94.1,18,82.0
49808,-36.87489,174.80342,6.5,79.3,18,82.2
50818,-36.87488,174.80344,7.9,48.5,19,82.3
51823,-36.87486,174.80348,14.1,28.8,19,83.8
52813,-36.87481,174.8035,21.4,23.2,19,84.9
53823,-36.87475,174.80351,28.6,19.6,19,85.9
54819,-36.87466,174.80356,34.5,17.4,19,86.6
55848,-36.87456,174.8036,38.1,16.4,19,87.3
56807,-36.87446,174.80363,41.2,16.7,19,87.8
57850,-36.87436,174.80368,43.0,15.5,19,88.2
58808,-36.87425,174.80373,43.8,15.3,19,88.6
59823,-36.87414,174.80376,44.1,19.8,19,88.8
60799,-36.87403,174.8038,44.1,28.0,19,89.0
61818,-36.87393,174.80388,44.6,35.7,19,89.0
62828,-36.87384,174.80396,45.7,43.3,19,89.0
63803,-36.87376,174.80408,47.4,45.2,19,88.9
64826,-36.87367,174.80418,49.2,45.3,19,88.8
65823,-36.87358,174.8043,50.6,45.4,19,88.7
66817,-36.87349,174.80441,51.4,45.6,19,88.6
67805,-36.8734,174.80453,52.2,45.5,19,88.6
68825,-36.87331,174.80466,52.2,38.8,19,88.5
69820,-36.8732,174.80476,52.1,29.8,19,88.5
70815,-36.87308,174.80484,52.7,21.3,19,88.6
71822,-36.87296,174.80489,53.3,18.3,19,88.9
72814,-36.87283,174.80492,53.1,14.2,19,89.3
73808,-36.8727,174.80496,52.3,10.5,19,89.7
74832,-36.87257,174.80498,51.6,1.1,19,90.1
75828,-36.87244,174.80498,51.4,355.0,19,90.4
76841,-36.87231,174.80496,51.7,353.3,19,90.9
77807,-36.87231,174.80496,51.8,352.7,19,91.2
77810,-36.87218,174.80495,51.8,352.7,19,91.2
78822,-36.87205,174.80492,51.8,352.6,19,91.4
79816,-36.87193,174.80489,51.6,352.4,19,91.6
80821,-36.8718,174.80489,51.4,353.2,19,91.8
81812,-36.87167,174.80486,50.8,358.4,19,91.8
82828,-36.87154,174.80486,51.3,5.2,19,91.6
83822,-36.87141,174.80489,52.8,9.1,19,91.4
84807,-36.87141,174.80489,54.5,9.8,19,91.2
84813,-36.87128,174.80492,54.5,9.8,19,91.2
85829,-36.87114,174.80496,56.0,10.1,19,90.8
86923,-36.87099,174.80498,57.1,10.3,19,90.5
87827,-36.87085,174.80502,57.5,10.3,19,90.2
88802,-36.87071,174.80504,57.9,10.3,19,89.9
89843,-36.87056,174.80508,58.2,10.3,19,89.7
90821,-36.87042,174.80511,58.1,10.0,19,89.5
91817,-36.87028,174.80516,57.6,11.1,19,89.1
92820,-36.87014,174.80518,57.3,15.6,19,88.7
93815,-36.87,174.80524,56.9,15.7,19,88.4
94807,-36.86987,174.80528,56.4,16.3,19,88.1
95808,-36.86973,174.80531,55.9,16.3,19,87.8
96808,-36.8696,174.8054,55.6,16.0,19,87.6
97814,-36.86947,174.80544,56.0,16.6,19,87.4
98813,-36.86934,174.8055,56.6,16.2,19,87.1
99827,-36.8692,174.80556,57.3,14.5,19,86.9
100833,-36.86905,174.8056,57.9,10.2,19,86.6
101828,-36.86891,174.80563,58.2,6.9,19,86.4
102817,-36.86876,174.80563,58.3,5.8,19,86.1
103817,-36.86862,174.80563,57.2,5.2,19,85.8
104838,-36.86862,174.80563,54.8,5.1,19,85.3
104850,-36.86848,174.80563,54.8,5.1,19,85.3
105807,-36.86835,174.80566,53.8,11.1,19,84.8
106818,-36.86822,174.8057,54.3,21.5,19,84.3
107818,-36.8681,174.80576,55.9,32.2,19,83.7
108823,-36.86797,174.80586,57.7,39.0,19,83.2
109813,-36.86786,174.806,60.2,39.9,19,82.6
110814,-36.86774,174.80612,62.0,40.2,19,82.0
111818,-36.86762,174.80624,63.6,39.8,19,81.4
112830,-36.86749,174.80638,62.5,38.9,19,80.4
113814,-36.86737,174.8065,58.7,38.9,19,79.3
114844,-36.86726,174.8066,51.8,39.9,19,78.3
115815,-36.86717,174.80672,46.6,41.1,19,76.6
116817,-36.86709,174.80682,38.8,39.5,18,74.7
117814,-36.86702,174.8069,33.0,32.4,19,72.1
118807,-36.86696,174.80696,28.7,19.8,19,69.7
119826,-36.8669,174.807,29.7,4.1,19,67.3
120818,-36.86682,174.807,33.6,345.4,19,65.3
121848,-36.86674,174.80696,38.6,327.6,19,63.6
122838,-36.86666,174.80685,44.8,316.5,18,62.2
123816,-36.86657,174.80676,50.0,313.1,18,60.0
124804,-36.86647,174.80664,52.6,311.5,17,58.2
125824,-36.86638,174.80652,56.3,305.8,19,56.5
126820,-36.86629,174.80637,60.6,297.0,19,55.9
127816,-36.86622,174.80617,62.3,291.9,19,55.4
128823,-36.86616,174.80598,63.1,285.9,19,54.7
129834,-36.86613,174.80579,61.6,282.4,19,54.0
130827,-36.8661,174.80557,67.0,282.5,19,53.4
131813,-36.86606,174.80536,66.2,281.9,19,52.9
132831,-36.86602,174.80516,64.6,281.3,19,52.4
133814,-36.86599,174.80496,63.1,282.4,19,51.9
134829,-36.86595,174.80478,62.0,282.7,19,51.6
135821,-36.86592,174.8046,61.8,284.4,18,51.5
136813,-36.86589,174.8044,58.4,290.5,18,51.6
137817,-36.86585,174.80424,55.8,299.7,18,51.6
138823,-36.86578,174.80408,56.8,311.6,18,51.8
139823,-36.86568,174.80396,56.6,316.4,18,52.0
140813,-36.86557,174.80383,58.3,318.0,18,52.6
141827,-36.86546,174.80373,58.0,317.4,18,53.1
142832,-36.86535,174.8036,58.3,317.4,18,53.5
143825,-36.86524,174.80348,58.1,317.5,18,53.9
144805,-36.86513,174.80336,57.7,317.1,17,54.2
145822,-36.86503,174.80322,58.3,317.0,17,54.7
146810,-36.86492,174.8031,54.0,318.1,17,55.2
147827,-36.86482,174.803,55.4,318.3,16,55.7
148822,-36.86472,174.80289,50.3,315.2,17,56.1
149811,-36.86463,174.80276,48.5,310.4,17,56.7
150819,-36.86463,174.80276,51.0,303.1,18,56.7
150838,-36.86455,174.80264,51.0,303.1,18,57.4
151827,-36.86448,174.80252,51.1,293.0,18,58.0
152805,-36.86443,174.80235,51.2,284.9,18,58.4
153829,-36.8644,174.8022,53.0,280.4,18,58.9
154819,-36.86438,174.80203,49.6,277.7,18,58.8
155823,-36.86437,174.8019,41.8,276.4,19,58.7
156831,-36.86436,174.80177,31.9,276.6,19,58.7
157831,-36.86435,174.80168,27.7,276.5,19,58.7
158815,-36.86434,174.8016,30.3,276.3,19,58.6
159800,-36.86433,174.8015,31.0,276.2,19,58.5
160819,-36.86432,174.80138,44.2,276.4,19,58.4
161824,-36.86431,174.80124,47.2,275.9,19,58.4
162804,-36.8643,174.80109,53.9,276.3,19,58.3
163807,-36.86428,174.8009,55.9,276.1,19,58.4
164806,-36.86427,174.80072,54.5,277.1,19,58.6
165828,-36.86425,174.80057,49.3,275.9,19,58.8
166843,-36.86423,174.80042,39.1,272.6,19,58.9
167821,-36.86423,174.80032,26.7,266.9,19,59.2
168825,-36.86422,174.80022,25.3,257.1,19,59.6
169814,-36.86423,174.80013,26.0,267.6,19,60.2
170832,-36.86423,174.80003,29.2,290.7,19,60.9
171820,-36.8642,174.79996,34.8,289.3,19,61.5
